Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(Pa),   Alti(m)
  2020/8/8,  10:44:19,  3.952500,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.850000,47.616211,101310.843750,1.178688
  2020/8/8,  10:44:29,  3.953750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.870001,47.451172,101308.968750,1.335085
  2020/8/8,  10:44:39,  3.953750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.889999,47.332031,101311.460938,1.127394
  2020/8/8,  10:44:49,  3.947500,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.900000,47.826172,101306.937500,1.503554
  2020/8/8,  10:44:59,  3.952500,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.920000,47.419922,101315.476562,0.792985
  2020/8/8,   10:45:9,  3.953750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.930000,47.228516,101316.140625,0.737670
  2020/8/8,  10:45:19,  3.952500,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.950001,47.134766,101308.796875,1.418062
  2020/8/8,  10:45:29,  3.952500,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.959999,47.099609,101314.687500,0.858860
  2020/8/8,  10:45:39,  3.951250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.969999,47.040039,101309.328125,1.304912
  2020/8/8,  10:45:49,  3.948750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.980000,46.946289,101311.406250,1.131920
  2020/8/8,  10:45:59,  3.947500,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 21.990000,46.946289,101309.828125,1.263172
  2020/8/8,   10:46:9,  3.951250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.010000,47.295898,101314.179688,0.901101
  2020/8/8,  10:46:19,  3.941250,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.020000,46.985352,101316.250000,0.728619
  2020/8/8,  10:46:29,  3.951250,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.030001,46.915039,101315.507812,0.789968
  2020/8/8,  10:46:39,  3.951250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.049999,48.971680,101319.023438,0.497306
  2020/8/8,  10:46:49,  3.940000,    0,       0.000000,       0.000000,       102,        26,         3,         3,         0,         0,         0,         0,         0,         0,         0,         0, 22.059999,47.591797,101314.468750,0.876460
  2020/8/8,  10:46:59,  3.951250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.070000,47.147461,101314.750000,0.970497
  2020/8/8,   10:47:9,  3.951250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.090000,47.161133,101310.187500,1.233502
  2020/8/8,  10:47:19,  3.938750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.110001,47.511719,101319.171875,0.485237
  2020/8/8,  10:47:29,  3.947500,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.120001,46.755859,101310.390625,1.216404
  2020/8/8,  10:47:39,  3.946250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.129999,46.468750,101310.226562,1.229982
  2020/8/8,  10:47:49,  3.943750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.129999,46.527344,101303.757812,1.768585
  2020/8/8,  10:47:59,  3.947500,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.150000,46.530273,101308.968750,1.335085
  2020/8/8,   10:48:9,  3.948750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.150000,46.447266,101315.429688,0.797008
  2020/8/8,  10:48:19,  3.938750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.170000,46.375977,101320.742188,0.354497
  2020/8/8,  10:48:29,  3.948750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.170000,46.387695,101315.546875,0.786950
  2020/8/8,  10:48:39,  3.950000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.190001,46.305664,101319.031250,0.496803
  2020/8/8,  10:48:49,  3.942500,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.200001,46.282227,101313.640625,0.945856
  2020/8/8,  10:48:59,  3.950000,    0,       0.000000,       0.000000,        21,         7,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.200001,46.536133,101306.015625,1.580498
  2020/8/8,   10:49:9,  3.950000,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.219999,46.982422,101305.718750,1.605643
  2020/8/8,  10:49:19,  3.948750,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0, 22.230000,46.801758,101305.968750,1.584521
