Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env,   Temp(C),     RH(%),    P(hPa),   Alti(m)
  2020/8/7,   21:0:53,  3.783750,    0,       0.000000,       0.000000,       597,       176,         9,         0,         0,         0,         3,         3,         3,         3,         3,         3, 25.309999,38.128906,101530.062500,-17.058939
  2020/8/7,    21:1:3,  3.783750,    0,       0.000000,       0.000000,       465,       139,         9,         0,         0,         0,         2,         3,         3,         2,         3,         3, 25.299999,38.055664,101527.820312,-16.872192
  2020/8/7,   21:1:13,  3.782500,    0,       0.000000,       0.000000,       507,       166,        15,         0,         0,         0,         3,         3,         3,         3,         3,         3, 25.320000,37.983398,101529.835938,-17.039864
  2020/8/7,   21:1:23,  3.766250,    0,       0.000000,       0.000000,       477,       149,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 25.320000,37.923828,101526.343750,-16.749701
  2020/8/7,   21:1:33,  3.778750,    0,       0.000000,       0.000000,       549,       163,        19,         0,         0,         0,         3,         3,         3,         3,         3,         3, 25.309999,38.043945,101528.625000,-16.939463
  2020/8/7,   21:1:43,  3.778750,    0,       0.000000,       0.000000,       516,       157,        47,         6,         6,         6,         3,         4,         9,         3,         4,         9, 25.290001,37.920898,101526.390625,-16.753717
  2020/8/7,   21:1:53,  3.773750,    0,       0.000000,       0.000000,       375,       116,        38,         6,         6,         6,         2,         3,         8,         2,         3,         8, 25.309999,37.886719,101530.867188,-17.125204
  2020/8/7,    21:2:3,  3.780000,    0,       0.000000,       0.000000,       426,       129,        31,         3,         3,         3,         2,         3,         6,         2,         3,         6, 25.309999,37.911133,101531.492188,-17.177410
  2020/8/7,   21:2:13,  3.781250,    0,       0.000000,       0.000000,       420,       130,        15,         3,         3,         3,         3,         3,         5,         3,         3,         5, 25.299999,37.921875,101523.515625,-16.514755
  2020/8/7,   21:2:23,  3.781250,    0,       0.000000,       0.000000,       456,       146,         6,         0,         0,         0,         3,         3,         3,         3,         3,         3, 25.299999,37.874023,101529.250000,-16.991671
  2020/8/7,   21:2:33,  3.782500,    0,       0.000000,       0.000000,       441,       140,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2, 25.299999,37.885742,101534.984375,-17.468565
  2020/8/7,   21:2:43,  3.783750,    0,       0.000000,       0.000000,       438,       128,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1, 25.299999,38.672852,101527.007812,-16.804922
  2020/8/7,   22:2:24,  4.050000,    0,       0.000000,       0.000000,       762,       238,        27,         0,         0,         0,         5,         6,         6,         5,         6,         6, 25.780001,45.482422,101545.992188,-18.383137
  2020/8/7,   22:2:34,  4.050000,    0,       0.000000,       0.000000,       540,       166,        15,         0,         0,         0,         3,         4,         4,         3,         4,         4, 25.780001,46.390625,101544.960938,-18.296803
  2020/8/7,   22:2:44,  4.047500,    0,       0.000000,       0.000000,       507,       146,         9,         0,         0,         0,         2,         3,         3,         2,         3,         3, 25.790001,47.855469,101549.843750,-18.702366
  2020/8/7,   22:2:54,  4.040000,    0,       0.000000,       0.000000,       396,       119,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2, 25.809999,48.195312,101548.406250,-18.583910
