Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
  2020/8/7,  22:23:20,  3.932500,    0,       0.000000,       0.000000,       462,       154,        13,         3,         3,         0,         2,         2,         4,         2,         2,         4
  2020/8/7,  22:23:30,  3.933750,    0,       0.000000,       0.000000,       342,       114,         7,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:23:40,  3.933750,    0,       0.000000,       0.000000,       369,       119,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:23:50,  3.933750,    0,       0.000000,       0.000000,       498,       162,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,   22:24:0,  3.933750,    0,       0.000000,       0.000000,       486,       146,         3,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:24:27,  3.935000,    0,       0.000000,       0.000000,       498,       150,         7,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:24:37,  3.936250,    0,       0.000000,       0.000000,       450,       146,         0,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:24:47,  3.936250,    0,       0.000000,       0.000000,       630,       202,         3,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,  22:24:57,  3.936250,    0,       0.000000,       0.000000,       609,       191,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,   22:25:7,  3.936250,    0,       0.000000,       0.000000,       606,       194,         6,         0,         0,         0,         3,         3,         3,         3,         3,         3
  2020/8/7,  22:25:27,  3.937500,    0,       0.000000,       0.000000,       438,       146,        20,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:25:37,  3.937500,    0,       0.000000,       0.000000,       462,       154,        12,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,  22:25:47,  3.938750,    0,       0.000000,       0.000000,       534,       174,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,  22:25:57,  3.938750,    0,       0.000000,       0.000000,       570,       182,        12,         3,         0,         0,         2,         3,         4,         2,         3,         4
  2020/8/7,   22:26:7,  3.938750,    0,       0.000000,       0.000000,       474,       154,         6,         3,         0,         0,         2,         2,         3,         2,         2,         3
  2020/8/7,  22:26:27,  3.938750,    0,       0.000000,       0.000000,       414,       138,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:26:37,  3.940000,    0,       0.000000,       0.000000,       342,       110,        10,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:26:47,  3.940000,    0,       0.000000,       0.000000,       414,       126,        14,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:26:57,  3.941250,    0,       0.000000,       0.000000,       474,       150,        18,         0,         0,         0,         2,         4,         4,         2,         4,         4
  2020/8/7,   22:27:7,  3.941250,    0,       0.000000,       0.000000,       438,       142,        11,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:27:27,  3.941250,    0,       0.000000,       0.000000,       432,       140,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:27:37,  3.941250,    0,       0.000000,       0.000000,       369,       115,         9,         0,         0,         0,         0,         1,         1,         0,         1,         1
  2020/8/7,  22:27:47,  3.942500,    0,       0.000000,       0.000000,       534,       170,         9,         3,         0,         0,         2,         2,         3,         2,         2,         3
  2020/8/7,  22:27:57,  3.942500,    0,       0.000000,       0.000000,       510,       158,         9,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,   22:28:7,  3.943750,    0,       0.000000,       0.000000,       486,       150,         6,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:28:27,  3.943750,    0,       0.000000,       0.000000,       408,       136,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:28:37,  3.943750,    0,       0.000000,       0.000000,       405,       131,         9,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,  22:28:47,  3.943750,    0,       0.000000,       0.000000,       366,       114,        13,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:28:57,  3.945000,    0,       0.000000,       0.000000,       345,       115,        13,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,   22:29:7,  3.946250,    0,       0.000000,       0.000000,       501,       167,        10,         0,         0,         0,         4,         4,         4,         4,         4,         4
  2020/8/7,  22:29:27,  3.946250,    0,       0.000000,       0.000000,       462,       154,         6,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,  22:29:37,  3.946250,    0,       0.000000,       0.000000,       510,       166,        13,         0,         0,         0,         3,         3,         3,         3,         3,         3
  2020/8/7,  22:29:47,  3.946250,    0,       0.000000,       0.000000,       474,       150,        10,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:29:57,  3.947500,    0,       0.000000,       0.000000,       558,       178,         7,         0,         0,         0,         2,         2,         2,         2,         2,         2
  2020/8/7,   22:30:7,  3.948750,    0,       0.000000,       0.000000,       594,       178,         3,         0,         0,         0,         3,         3,         3,         3,         3,         3
  2020/8/7,  22:30:27,  3.948750,    0,       0.000000,       0.000000,       414,       130,        20,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:30:37,  3.948750,    0,       0.000000,       0.000000,       438,       138,         6,         0,         0,         0,         1,         1,         1,         1,         1,         1
  2020/8/7,  22:30:47,  3.948750,    0,       0.000000,       0.000000,       402,       130,         3,         3,         0,         0,         1,         1,         2,         1,         1,         2
  2020/8/7,  22:30:57,  3.950000,    0,       0.000000,       0.000000,       450,       146,        10,         3,         0,         0,         1,         1,         2,         1,         1,         2
  2020/8/7,   22:31:7,  3.950000,    0,       0.000000,       0.000000,       414,       134,        14,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:31:27,  3.951250,    0,       0.000000,       0.000000,       510,       158,        15,         0,         0,         0,         1,         2,         2,         1,         2,         2
  2020/8/7,  22:31:37,  3.951250,    0,       0.000000,       0.000000,       642,       210,        22,         0,         0,         0,         3,         4,         4,         3,         4,         4
  2020/8/7,  22:31:47,  3.951250,    0,       0.000000,       0.000000,       549,       175,        17,         7,         0,         0,         2,         3,         6,         2,         3,         6
